Huso nudiventris,Acipenser nudiventris,anadromous,,,,,,,,,Anadromous,,,,,,,anadromous,Palearctic,more than one central river,Critically Endangered,Decreasing,2022,500-3000(km),3,,Partial pop mig.,https://doi.org/10.1139/f95-276,Paper,,,,,,,Acipenser nudiventris,,,,,,,,,Acipenser nudiventris,,,
---,Acipenser oxyrinchus,anadromous,Full Migrant,anadromous,Anadromous,,,,,,Anadromous,,,,,,,anadromous,Nearctic|Neotropical,more than one central river,Vulnerable,Increasing,2022,500-3000(km),3,,,https://doi.org/10.1577/1548-8659(1997)126<0302:SMOGSI>2.3.CO;2,Paper,https://doi.org/10.1139/f95-276,Paper,https://doi.org/10.1111/jai.14234,Paper,https://doi.org/10.1023/A:1014270129729,Paper,Acipenser oxyrinchus,Acipenser oxyrinchus,Acipenser oxyrinchus desotoi,Acipenser oxyrinchus,,,,,,Acipenser oxyrinchus,,,
Huso persicus,Acipenser persicus,anadromous,Full Migrant,,,,,,,,Anadromous,,,,,,,anadromous,Palearctic,more than one central river,Critically Endangered,Decreasing,2022,500-3000(km),2,,,https://cjes.guilan.ac.ir/article_1066.html,Paper,,,,,,,Acipenser persicus,Acipenser persicus,,,,,,,,Acipenser persicus,,,
Huso ruthenus,Acipenser ruthenus,potamodromous,Full Migrant,,,,,,,,Potamodromous,,,,Breeding,fishbase,FishBase,"potamodromous, longitudinal",Palearctic,more than one central river,Endangered,Decreasing,2022,100-500(km),3,,,https://doi.org/10.1134/S0032945210010066,Paper,,,,,,,Acipenser ruthenus,Acipenser ruthenus,,,,,,,,Acipenser ruthenus,,,
Sinosturio schrenckii,Acipenser schrenckii,anadromous,Full Migrant,anadromous,,,,,,,,,,,,,,anadromous,Palearctic,one large river,Critically Endangered,Decreasing,2022,500-3000(km),3,,,https://doi.org/10.1007/s10641-006-9050-3,Paper,https://doi.org/10.1134/S0032945212060033,Paper,https://doi.org/10.1111/jai.12549,Paper,,,Acipenser schrenckii,,Acipenser multiscutatus,,,,,,,,,,
Sinosturio sinensis,Acipenser sinensis,anadromous,,,,,,,,Migratory fish,,,,,,,,anadromous,Palearctic,more than one central river,Critically Endangered,Decreasing,2022,3000 + (km),3,,,https://doi.org/10.1111/j.1095-8649.2012.03365.x,Paper,https://doi.org/10.1126/sciadv.adi6580,Paper,,,,,Acipenser sinensis,,,,,,,,Acipenser sinensis,,,,
Huso stellatus,Acipenser stellatus,anadromous,Full Migrant,,,,,,,,Anadromous,,,,,,,anadromous,Palearctic,more than one central river,Critically Endangered,Decreasing,2022,500-3000(km),3,,,https://doi.org/10.3906/zoo-1902-32,Paper,https://archive.iwlearn.net/caspianenvironment.org/CaspBIS/Taxons/Taxon010f.html?taxonid=6,Database,,,,,Acipenser stellatus,Acipenser stellatus,,,,,,,,Acipenser stellatus,,,
Acipenser sturio,Acipenser sturio,anadromous,Full Migrant,,,,,,,,Anadromous,,,,,,,anadromous,Palearctic,more than one central river,Critically Endangered,Decreasing,2022,500-3000(km),3,,,,,,,,,,,Acipenser sturio,Acipenser sturio,,,,,,,,Acipenser sturio,,,
Sinosturio transmontanus,Acipenser transmontanus,anadromous,Full Migrant,,Anadromous,,,,,,,,,,,,,anadromous,Nearctic,more than one central river,Vulnerable,Stable,2022,500-3000(km),2,,Partial pop mig.,https://doi.org/10.1111/j.1439-0426.2007.00869.x,Paper,https://www.fws.gov/species/white-sturgeon-acipenser-transmontanus,Other,https://marinespecies.wildlife.ca.gov/white-sturgeon/the-species/,Report,https://www.sararegistry.gc.ca/virtual_sara/files/cosewic/sr_white_sturgeon_e.pdf,Report,Acipenser transmontanus,Acipenser transmontanus,,Acipenser transmontanus,,,,,,,,,
Acnodon oligacanthus,Acnodon oligacanthus,potamodromous,,,,,,,,,,,,,Breeding,"assumed from juvelines living in streams, adults in main water bodies (FB)",FishBase,"potamodromous, longitudinal",Neotropical,more than one central river,Least Concern,Stable,2022,0-100(km),1,,,"Planquette, P., Keith, P., & Le Bail, P. Y. (1996). Atlas des poissons d’eau douce de Guyane (tome 1). Collection du Patrimoine naturel, 22. https://sciencepress.mnhn.fr/fr/collections/patrimoines-naturels/atlas-des-poissons-d-eau-douce-de-guyane ",Book,,,,,,,Acnodon oligacanthus,,,,,,,,,,,,
Gila alutacea,Acrocheilus alutaceus,,Not a Migrant,,Potamodromous,,,,,,,,,,Breeding,,"The influence of temperature and habitat on the distribution of chiselmouth, Acrocheilus alutaceus, in British Columbia","potamodromous, longitudinal",NA,more than one central river,Least Concern,Stable,2011,0-100(km),3,,Partial pop mig.,https://doi.org/10.1023/A:1012222415961,Paper,https://dx.doi.org/10.14288/1.0104703,Other,,,,,,,,Acrocheilus alutaceus,,,,,,,,,
Acrossocheilus paradoxus,Acrossocheilus paradoxus,potamodromous,,,,,,,,,,,,,Little information,has 'limited migration' - possibly lateral Breedable in tanks (https://onlinelibrary.wiley.com/doi/full/10.1111/j.1095-8649.2008.01749.x?casa_token=K3N568Gw0LAAAAAA%3AbU9WaWDM9wuic5Dm90P2MjZaQ7G3CMR1SikvB87uySfcJ3L1lyVqZt--Fb2whMjYuZniGeuUJSHY3UY),,little information,NA,more than one central river,NA (Not in IUCN),NA (Not in IUCN),NA (Not in IUCN),little information,0,,,https://culture.teldap.tw/culture/index.php?option=com_content&view=article&id=2117:eco-photo-of-the-acrossocheilus-paradoxus-&catid=148&Itemid=209,Other,,,,,,,Acrossocheilus paradoxus,,,,,,,,,,,,
Adontosternarchus clarkae,Adontosternarchus clarkae,,,,,lateral migration,,,,,,,,,,,AmazonMovements,little information,Neotropical,one large river,Least Concern,Unknown,2022,little information,0,,,https://doi.org/10.1206/0003-0090.431.1.1,Paper,https://www.redalyc.org/pdf/339/33904802.pdf,Paper,,,,,,,,,Adontosternarchus clarkae,,,,,,,,
Aetobatus flagellum,Aetobatus flagellum,amphidromous,,,,,,,,,,,,,,,,amphidromous,,coastal,Endangered,Decreasing,2021,0-100(km),2,,,https://doi.org/10.1007/BF03022405,Paper,,,,,,,Aetobatus flagellum,,,,,,,,,,,,
Aetobatus narinari,Aetobatus narinari,amphidromous,,,,,,,,,,,,,,,,amphidromous,,coastal,Endangered,Decreasing,2021,0-100(km),2,,,https://doi.org/10.1093/jhered/esv011,Paper,https://doi.org/10.1007/s00227-021-03821-2,Paper,,,,,Aetobatus narinari,,,,,,,,,,,,
Aetobatus ocellatus,Aetobatus ocellatus,,,,,,,,,,,,,Catadromous,,,,amphidromous,,more than one central river,Endangered,Decreasing,2023,little information,1,,,https://doi.org/10.1080/23308249.2024.2401018,Paper,,,,,,,,,,,,,,,,,,,
Aetomylaeus nichofii,Aetomylaeus nichofii,amphidromous,,,,,,,,,,,,Marine migrant,,,,coastal,Australasian|Indomalayan|Palearctic,coastal,Vulnerable,Decreasing,2016,non-migratory,2,,,https://doi.org/10.1080/23308249.2024.2401018,Paper,,,,,,,Aetomylaeus nichofii,,,,,,,,,,,,
Agamyxis pectinifrons,Agamyxis pectinifrons,,Full Migrant,,,,,,,,,,,,Little information,"seems like most likely movement in the floodplain, but uncertain (https://www.researchgate.net/publication/353693049_First_records_of_a_non-native_spotted_raphael_catfish_Agamyxis_pectinifrons_Cope_1870_Siluriformes_Doradidae_in_the_floodplain_of_the_Grijalva_basin)",IUCN,"potamodromous, lateral",Neotropical,more than one central river,Least Concern,Unknown,2023,0-100(km),3,,,https://www.reabic.net/journals/bir/2021/3/BIR_2021_Alvarez-Pliego.pdf,Paper,,,,,,,,Agamyxis pectinifrons,,,,,,,,,,,potamodromous
Ageneiosus inermis,Ageneiosus inermis,,Altitudinal Migrant,,,longitudinal migration,,,Less100km,,,,,,Breeding,IUCN,IUCN,"potamodromous, longitudinal",Neotropical,more than one central river,Least Concern,Unknown,2023,0-100(km),3,,,ColombiaFish (978-958-8353-61-6),Database,https://doi.org/10.1111/j.1600-0633.2011.00511.x,Paper,https://doi.org/10.1590/1982-0224-2024-0098,Paper,,,,Ageneiosus inermis,,,Ageneiosus inermis,,,Ageneiosus inermis,,,,,potamodromous
Ageneiosus pardalis,Ageneiosus pardalis,,Full Migrant,,,,,,Less100km,,,,,,Breeding,long migration to various shallower breeding sites,ColumbiaFish,"potamodromous, longitudinal",Neotropical,more than one central river,Least Concern,Decreasing,2020,0-100(km),3,,,,,,,,,,,,Ageneiosus pardalis,,,,,,Ageneiosus pardalis,,,,,potamodromous
Ageneiosus ucayalensis,Ageneiosus ucayalensis,,Full Migrant,,,lateral migration,,,,,,,,,Breeding,IUCN,IUCN,"potamodromous, longitudinal",Neotropical,more than one central river,Least Concern,Unknown,2023,0-100(km),3,,,https://doi.org/10.1111/jfb.13246,Paper,https://doi.org/10.1111/jfb.14614,Paper,https://doi.org/10.1590/1982-0224-2024-0098,Paper,,,,Ageneiosus ucayalensis,,,Ageneiosus ucayalensis,,,,,,,,potamodromous
Ageneiosus vittatus,Ageneiosus vittatus,,,,,lateral migration,,,,,,,,,,,AmazonMovements,"potamodromous, longitudinal",Neotropical,more than one central river,Least Concern,Unknown,2023,0-100(km),3,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1600-0633.2011.00511.x,Paper,https://doi.org/10.1590/1982-0224-2024-0098,Paper,,,,,,,,,Ageneiosus vittatus,,,,,,,,
Agoniates anchovia,Agoniates anchovia,,,,,lateral migration,,,,,,,,,,,AmazonMovements,little information,Neotropical,more than one central river,Least Concern,Unknown,2023,little information,0,,,CHECK AMAZON,,https://doi.org/10.1007/s10531-005-3742-4,Paper,,,,,,,,,Agoniates anchovia,,,,,,,,
Agonostomus telfairii,Agonostomus telfairii,catadromous,Full Migrant,,,,,,,,,,,,,,,amphidromous,Afrotropical,more than one central river,Least Concern,Unknown,2016,0-100(km),3,,,,,,,,,,,Agonostomus telfairii,Agonostomus telfairii,,,,,,,,,,,
Aguarunichthys torosus,Aguarunichthys torosus,,Altitudinal Migrant,,,,,,,,,,,,Breeding,IUCN,IUCN,"potamodromous, longitudinal",Neotropical,more than one central river,Least Concern,Unknown,2023,100-500(km),1,,,,,,,,,,,,Aguarunichthys torosus,,,,,,,,,,,potamodromous
Akihito futuna,Akihito futuna,,Full Migrant,,,,,,,,,,,,,IUCN,,amphidromous,Oceanian,coastal,Critically Endangered,Decreasing,2012,0-100(km),3,,,,,,,,,,,,Akihito futuna,,,,,,,,,,,amphidromous
Akihito vanuatu,Akihito vanuatu,,Full Migrant,,,,,,,,,,,,,,,catadromous,Oceanian,more than one central river,Least Concern,Unknown,2012,0-100(km),3,,,https://doi.org/10.26028/cybium/2007-313-003,Paper,,,,,,,,Akihito vanuatu,,,,,,,,,,,amphidromous
Albula glossodonta,Albula glossodonta,,,,,,,,,,,,,Marine migrant,,,,coastal,,coastal,Vulnerable,Decreasing,2011,non-migratory,2,,,https://doi.org/10.1080/23308249.2024.2401018,Paper,,,,,,,,,,,,,,,,,,,
Albula vulpes,Albula vulpes,amphidromous,Full Migrant,,Amphidromous,,,,,,,,,,,,,amphidromous,,coastal,Near Threatened,Decreasing,2012,0-100(km),3,,,,,,,,,,,Albula vulpes,,,Albula vulpes,,,,,,,,,
Albulichthys albuloides,Albulichthys albuloides,,,,,,White,,,,,,,,,,MekongDeltaDatabase,"potamodromous, longitudinal",Indomalayan,more than one central river,Least Concern,Unknown,2020,0-100(km),3,,,https://doi.org/10.3390/w12123522,Paper,,,https://archive.iwlearn.net/mrcmekong.org/download/free_download/proceedings_6TechSym/Paper2-Drift_of_fish.pdf,Paper,,,,,,,,Albulichthys albuloides,,,,,,,
Alburnoides bipunctatus,Alburnoides bipunctatus,potamodromous,,,,,,,,,,,,,Breeding,,"Population Characteristics of Spirlin Alburnoides bipunctatus (Bloch, 1782) in Serbia (Central Balkans): Implications for Conservation","potamodromous, longitudinal",Palearctic,more than one central river,Least Concern,Unknown,2024,0-100(km),1,,,https://doi.org/10.25225/fozo.v59.i3.a10.2010,Paper,https://doi.org/10.3390/d15050616,Paper,,,,,Alburnoides bipunctatus,,,,,,,,,,,,
Alburnus alburnus,Alburnus alburnus,potamodromous,Full Migrant,,,,,,,,,,,,Breeding,FishBase,FishBase,"potamodromous, lateral",Palearctic,more than one central river,Least Concern,Unknown,2024,0-100(km),3,,,,,,,,,,,Alburnus alburnus,Alburnus alburnus,,,,,,,,,,,
Alburnus carinatus,Alburnus carinatus,,Full Migrant,,,,,,,,,,,,Breeding,IUCN,IUCN,"potamodromous, longitudinal",Palearctic,more than one central river,Endangered,Decreasing,2014,0-100(km),1,,,https://doi.org/10.26650/ASE2019600582,Paper,,,,,,,,Alburnus carinatus,,,,,,,,,,,potamodromous
Alburnus chalcoides,Alburnus chalcoides,potamodromous,Full Migrant,potamodromous,,,,,,,"Semi-anadromous, Potamodromous ",,,,,,,anadromous,Palearctic,one large river,Least Concern,Stable,2024,500-3000(km),3,,Partial pop mig.,https://doi.org/10.22034/ijab.v3i5.111,Paper,,,,,,,Alburnus chalcoides,Alburnus chalcoides,Chalcalburnus chalcoides,,,,,,,Alburnus chalcoides,,,
